صورة	صوره،الصورة،الصور،صور،الصورة،والصورة،للصورة،وصورة،وصوره،بالصورة،بالصوره،للصوره
كلمات مفتاحية	كلمات مفتاحية،الكلمات المفتاحية،كلمات مفتاحيه،والكلمات المفتاحية،للكلمات المفتاحية،للكلمات المفتاحيه،والكلمات المفتاحية،المعلومات العامة،معلومات عامة
ملخص	ملخص،معلومات،من هو،من هي،تلخيص،تعريف،عرف
المهنة	مهنة،مهنة،المهنة،المهنه،والمهنة،والمهنه،ومهنة،ومهنه
الميلاد	الميلاد،توليد،ميلاد،مولد،متى ولد، متى ولدت، ولدت، ولادت، ولادتها، ولادته، وولادتها، وولادته، سنة ولد،كم عمر، وكم عمر،كم عمره،كم عمرها
IMDB	IMDB
مواطنة	اين ولد، اين يعيش،مواطنة،مواطنه،وطن،توطين،مواطن،مواطن،ووطن،ومواطنة،وتوطين،ومواطنه،أين ولد،واين ولد،اين ولدت،وأين ولدت،اين ولدت،من اين،من أين
سنوات النشاط	سنوات النشاط،سنوات العمل،سنوات الشغل،أعوام العمل،اعوام العمل، اعوام النشاط، اعوام الشغل،أعوام النشاط،أعوام الشغل،فترة العمل،فترة النشاط،فترة الشغل،فتره العمل،فتره الشغل، فتره النشاط
اللغات المحكية أو المكتوبة	اللغات المحكية، اللغات المحكيه، اللغات المكتوبة، اللغات المكتوبة،اللغات، اللغات التي تتكلمها، اللغات التي يتكلمها، اللغة، اللغه، اللغة المحكيه، اللغة المحكية، اللغة المكتوبه،اللغة المكتوبة،اللغات، اللغة، لغة، لغه،لغة محكية، لغة محكيه، اللغة المقروئة، اللغة المقروئه
المدرسة الأم	المدرسة الأم، المدرسه الأم،المدرسه الام، المدرسة الام، المدرسة الأولى، اول مدرسة ، اول مدرسه، أول مدرسة، أول مدرسه،واين تعلم،وأين تعلم،اين تعلم،أين تعلم،اين تعلمت،أين تعلمت،واين تعلمت،وأين تعلمت
الموقع	الموقع، الويب، الويي سايت
الاسم عند الولادة	الاسم عند الولادة، الاسم عند الولاده، الأسم عند الولاده، الأسم عند الولادة، الاسم الأصلي، الأسم الأصلي، الاسم الاصلي، الاسم الأسم الأصلي، اسمها الاصلي، اسمها الأصلي، واسمها الاصلي، وأسمها الأصلي
الوفاة	متى توفي، متى توفيت، توفي، توفيت، الوفاه، الوفاة، وفاة، وفاه، مات، ماتت، والوفاه، والوفاة، ووفاة، ووفاه، تاريخ الوفاه، تاريخ الوفاة، تاريخ وفاه، تاريخ وفاة
الجنسية	الجنسية، الجنسيه، جنسية، جنسيه، جسنيته، جسنيتها، والجنسية، والجنسيه،اين ولد، اين يعيش،اين ولد،أين ولد،واين ولد،اين ولدت،وأين ولدت،اين ولدت،من اين،من أين
سبب الوفاة	سبب الوفاة، أسباب الوفاه، سبب الوفاه،أسباب الوفاه، أسباب الوفاة، اسباب الوفاه، اسباب الوفاة، سبب الوفاة، وسبب الوفاه، وسبب الوفاة، وأسباب الوفاه، وأسباب الوفاة، واسباب الوفاه، واسباب الوفاة، وسبب الموت، وأسباب الموت، اسباب الموت، سبب الموت، أسباب الموت، وأسباب الموت، كيف توفى، لماذا توف، سبب وفاة
السينما.كوم	السينما.كوم
أبناء	أبناء، ابناء، أولاد، اولاد، أطفال، اطفال، أولادهم، اولاده، أولاده، أولادها، اولادها، أبنائه، ابنائه، ابنائهم، أبنائهم، واولاده، وأولاده، وأولادهم، واولادهم، وابناء، وابنائهم، وأبنائهم، وأبناء، وبناته،بناته، بناتة، وبناتة، وأطفاله، اطفالها ، أطفالها، وأطفالها، وبناتها، بناتها
الإقامة	الإقامة، الاقامة، الاقامه، الإقامه، مكان الإقامه، مكان الاقامة، مكان الإقامة، مكان الاقامه، مكان السكن، السكن، منطقة السكن، منطقه السكن، تسكن، يسكن ، تقيم ، يقيم، والاقامة، والإقامة، والاقامه، والإقامه
